dataset,method_key,method,measure,value
scifact,bm25_cosine_float,BM25 + cos_float,P@10,0.10399999999999998
scifact,bm25_cosine_float,BM25 + cos_float,nDCG@10,0.7869113149367046
scifact,hamming,Hamming,AP,0.7405699766800041
scifact,hamming,Hamming,RR,0.748589155649183
scifact,hamming,Hamming,P@10,0.10366666666666664
scifact,hamming,Hamming,nDCG@10,0.7827310596540811
scifact,hamming_cosine_int8,Hamming + cos_int8,AP,0.7431926248764419
scifact,hamming_cosine_int8,Hamming + cos_int8,RR,0.7509158635286278
scifact,hamming_cosine_int8,Hamming + cos_int8,P@10,0.10433333333333332
scifact,hamming_cosine_int8,Hamming + cos_int8,nDCG@10,0.786149736265109
scifact,hamming_cosine_float,Hamming + cos_float,AP,0.7437598018920375
scifact,hamming_cosine_float,Hamming + cos_float,RR,0.7517633266352681
scifact,hamming_cosine_float,Hamming + cos_float,P@10,0.10466666666666664
scifact,hamming_cosine_float,Hamming + cos_float,nDCG@10,0.7874666106777924
scifact,cosine_int8,cos_int8,AP,0.7431972117557266
scifact,cosine_int8,cos_int8,RR,0.7509204504079126
scifact,cosine_int8,cos_int8,P@10,0.10433333333333332
scifact,cosine_int8,cos_int8,nDCG@10,0.786149736265109
scifact,cosine_int8_cosine_float,cos_int8 + cos_float,AP,0.7437652360966577
scifact,cosine_int8_cosine_float,cos_int8 + cos_float,RR,0.7517687608398883
scifact,cosine_int8_cosine_float,cos_int8 + cos_float,P@10,0.10466666666666664
scifact,cosine_int8_cosine_float,cos_int8 + cos_float,nDCG@10,0.7874666106777924
scifact,cosine_float,cos_float,AP,0.7437652360966577
scifact,cosine_float,cos_float,RR,0.7517687608398883
scifact,cosine_float,cos_float,P@10,0.10466666666666664
scifact,cosine_float,cos_float,nDCG@10,0.7874666106777924
scifact,hybrid_hamming,RRF(Hamming),AP,0.7102374471023808
scifact,hybrid_hamming,RRF(Hamming),RR,0.7200684849578263
scifact,hybrid_hamming,RRF(Hamming),P@10,0.09899999999999999
scifact,hybrid_hamming,RRF(Hamming),nDCG@10,0.7536074292483528
scifact,hybrid_cosine_int8,RRF(cos_int8),AP,0.7175617516601566
scifact,hybrid_cosine_int8,RRF(cos_int8),RR,0.730333802515903
scifact,hybrid_cosine_int8,RRF(cos_int8),P@10,0.09933333333333333
scifact,hybrid_cosine_int8,RRF(cos_int8),nDCG@10,0.7598782113604888
scifact,hybrid_cosine_float,RRF(cos_float),AP,0.7170695652117214
scifact,hybrid_cosine_float,RRF(cos_float),RR,0.7285713758565813
scifact,hybrid_cosine_float,RRF(cos_float),P@10,0.09933333333333333
scifact,hybrid_cosine_float,RRF(cos_float),nDCG@10,0.7592232108996679
scifact,baseline,MTEB (Qwen3-8B),AP,0.74137
scifact,baseline,MTEB (Qwen3-8B),RR,0.749274
scifact,baseline,MTEB (Qwen3-8B),P@10,0.104
scifact,baseline,MTEB (Qwen3-8B),nDCG@10,0.78457
trec-covid,bm25,BM25,AP,0.19494854392190597
trec-covid,bm25,BM25,RR,0.8845238095238095
trec-covid,bm25,BM25,P@10,0.636
trec-covid,bm25,BM25,nDCG@10,0.6053692675252074
trec-covid,bm25_hamming,BM25 + Hamming,AP,0.3033202519092769
trec-covid,bm25_hamming,BM25 + Hamming,RR,0.975
trec-covid,bm25_hamming,BM25 + Hamming,P@10,0.9180000000000001
trec-covid,bm25_hamming,BM25 + Hamming,nDCG@10,0.8791277332505157
trec-covid,bm25_cosine_int8,BM25 + cos_int8,AP,0.3077201508216602
trec-covid,bm25_cosine_int8,BM25 + cos_int8,RR,1.0
trec-covid,bm25_cosine_int8,BM25 + cos_int8,P@10,0.9159999999999999
trec-covid,bm25_cosine_int8,BM25 + cos_int8,nDCG@10,0.8844523690130415
trec-covid,bm25_cosine_float,BM25 + cos_float,AP,0.307674457105508
trec-covid,bm25_cosine_float,BM25 + cos_float,RR,1.0
trec-covid,bm25_cosine_float,BM25 + cos_float,P@10,0.91
trec-covid,bm25_cosine_float,BM25 + cos_float,nDCG@10,0.8789257630432779
trec-covid,hamming,Hamming,AP,0.39301436381636257
trec-covid,hamming,Hamming,RR,0.985
trec-covid,hamming,Hamming,P@10,0.9120000000000001
trec-covid,hamming,Hamming,nDCG@10,0.8756263165207112
trec-covid,hamming_cosine_int8,Hamming + cos_int8,AP,0.40703635656805454
trec-covid,hamming_cosine_int8,Hamming + cos_int8,RR,1.0
trec-covid,hamming_cosine_int8,Hamming + cos_int8,P@10,0.9259999999999999
trec-covid,hamming_cosine_int8,Hamming + cos_int8,nDCG@10,0.8954173228988315
trec-covid,hamming_cosine_float,Hamming + cos_float,AP,0.4057272342568578
trec-covid,hamming_cosine_float,Hamming + cos_float,RR,0.99
trec-covid,hamming_cosine_float,Hamming + cos_float,P@10,0.9159999999999999
trec-covid,hamming_cosine_float,Hamming + cos_float,nDCG@10,0.8850219450708319
trec-covid,cosine_int8,cos_int8,AP,0.41301280743863267
trec-covid,cosine_int8,cos_int8,RR,1.0
